"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,136.25,136.61,133.14,133.899994,7599900,133.899994
2010-01-05,133.43,135.48,131.81,134.690002,8851900,134.690002
2010-01-06,134.6,134.73,131.65,132.25,7178800,132.25
2010-01-07,132.01,132.32,128.8,130,11030200,130
2010-01-08,130.56,133.68,129.03,133.520004,9830500,133.520004
2010-01-11,132.62,132.8,129.21,130.309998,8779400,130.309998
2010-01-12,128.99,129.82,126.55,127.349998,9096300,127.349998
2010-01-13,127.9,129.71,125.75,129.110001,10723200,129.110001
2010-01-14,129.14,130.38,126.4,127.349998,9774900,127.349998
2010-01-15,129.18,129.65,127.06,127.139999,15376500,127.139999
2010-01-19,126.31,128,124.33,127.610001,8892600,127.610001
2010-01-20,127.13,129.2,125.08,125.779999,9074700,125.779999
2010-01-21,127.26,128.15,125,126.620003,9970600,126.620003
2010-01-22,125.6,127.67,120.76,121.43,11568900,121.43
2010-01-25,122.1,122.28,118.12,120.309998,12023900,120.309998
2010-01-26,120.56,122.98,119.06,119.480003,9559000,119.480003
2010-01-27,121.03,123.33,118.8,122.75,14765300,122.75
2010-01-28,124.43,127.2,122.8,126.029999,27293100,126.029999
2010-01-29,129.77,131.85,124.14,125.410004,29471300,125.410004
2010-02-01,123.18,124.86,113.82,118.870003,37774400,118.870003
2010-02-02,118.79,118.98,114.4,118.120003,23079700,118.120003
2010-02-03,117.12,119.61,116.56,119.099998,12405900,119.099998
2010-02-04,118.64,120.33,115.74,115.940002,12784000,115.940002
2010-02-05,115.88,117.65,114.1,117.389999,11024800,117.389999
2010-02-08,119.38,121,116.56,116.830002,9890200,116.830002
2010-02-09,118.2,119.09,117,118.029999,9223000,118.029999
2010-02-10,118,118.61,116,117.360001,6233200,117.360001
2010-02-11,117.21,120.42,116.5,120.089996,8343500,120.089996
2010-02-12,118.99,119.94,117.5,119.660004,8073500,119.660004
2010-02-16,120.06,120.5,117.18,117.529999,8932700,117.529999
2010-02-17,117.07,117.13,115.55,116.309998,8944800,116.309998
2010-02-18,115.84,118.51,114.82,118.080002,9800100,118.080002
2010-02-19,117.91,119.09,117,117.519997,7115600,117.519997
2010-02-22,117.37,118.97,116.18,118.010002,6807300,118.010002
2010-02-23,118.01,119.25,116.51,117.239998,7068200,117.239998
2010-02-24,117.96,119.8,117.15,119.720001,7389900,119.720001
2010-02-25,118.17,118.34,115.85,118.199997,9533400,118.199997
2010-02-26,117.88,119.43,117,118.400002,5721600,118.400002
2010-03-01,118.7,124.66,117.53,124.540001,13296500,124.540001
2010-03-02,125.01,127.35,124.8,125.529999,12097500,125.529999
2010-03-03,125.4,126.94,124.43,125.889999,6440400,125.889999
2010-03-04,125.98,128.85,125.57,128.529999,7509700,128.529999
2010-03-05,129.13,129.45,127.07,128.910004,6769300,128.910004
2010-03-08,128.3,130.85,127.71,130.110001,5605900,130.110001
2010-03-09,129.59,130.81,127.97,128.820007,6070800,128.820007
2010-03-10,129.11,131.17,128.48,130.509995,5625700,130.509995
2010-03-11,130.45,133.62,130.36,133.580002,7240800,133.580002
2010-03-12,134.2,134.2,131.18,131.820007,6150800,131.820007
2010-03-15,131.7,132,128.63,131.130005,6329200,131.130005
2010-03-16,131.24,132.29,130.5,131.789993,4132500,131.789993
2010-03-17,132.41,132.69,131.22,131.339996,4358800,131.339996
2010-03-18,131.02,132.85,130.44,132.759995,5021300,132.759995
2010-03-19,133.71,133.71,129.66,130.350006,8905000,130.350006
2010-03-22,130.2,130.96,128.64,130.470001,5383400,130.470001
2010-03-23,130.89,130.94,128.07,129.259995,4213100,129.259995
2010-03-24,128.64,129.4,127.2,128.039993,4696400,128.039993
2010-03-25,129.14,136.91,128.04,134.729996,16209600,134.729996
2010-03-26,134.9,136.99,133.76,135.059998,6565700,135.059998
2010-03-29,135.37,136.63,134.33,135.119995,4626900,135.119995
2010-03-30,135.74,138.19,135.36,136.580002,6192700,136.580002
2010-03-31,136,136.8,134.48,135.770004,4600600,135.770004
2010-04-01,135.8,136.51,131.18,131.809998,8785800,131.809998
2010-04-05,132.85,133.74,130.78,131.490005,5816500,131.490005
2010-04-06,131.23,136,131.18,135.559998,7950300,135.559998
2010-04-07,135.96,136.08,133.86,134.869995,5945400,134.869995
2010-04-08,134.71,141.25,134.71,140.960007,12689100,140.960007
2010-04-09,140.72,141.33,139.07,140.059998,6011100,140.059998
2010-04-12,140,142.91,139.68,141.199997,5445300,141.199997
2010-04-13,141.23,141.98,139.12,140.160004,4785500,140.160004
2010-04-14,140.34,144.5,139.2,144.279999,7900300,144.279999
2010-04-15,144.55,147.09,144,145.820007,7829600,145.820007
2010-04-16,144.88,147.17,141.45,142.169998,8396800,142.169998
2010-04-19,142.35,143.67,139.13,142.429993,6022000,142.429993
2010-04-20,143.83,144.64,142.1,144.199997,4311700,144.199997
2010-04-21,145.17,149,143.52,146.429993,7374400,146.429993
2010-04-22,147.01,151.09,145.88,150.089996,15165800,150.089996
2010-04-23,145.38,149.09,142.42,143.630005,18975200,143.630005
2010-04-26,143.2,147.73,142.9,147.110001,9318300,147.110001
2010-04-27,145.55,146.44,141.11,142.020004,8639000,142.020004
2010-04-28,142.59,142.75,138.69,139.350006,9235300,139.350006
2010-04-29,140.09,142.45,139.79,141.729996,6314200,141.729996
2010-04-30,141.4,141.4,136.91,137.100006,6113500,137.100006
2010-05-03,137.2,139.44,136.11,137.490005,5654600,137.490005
2010-05-04,135.62,135.81,128.38,129.830002,12667800,129.830002
2010-05-05,128,131.61,127.55,130.929993,9458100,130.929993
2010-05-06,130,132.33,120.6,128.710007,10189000,128.710007
2010-05-07,127.97,131.18,123.76,124.980003,11927600,124.980003
2010-05-10,129.73,132.21,129.26,131.289993,6806100,131.289993
2010-05-11,129.95,133.08,128.47,130.460007,6044100,130.460007
2010-05-12,131.41,134.13,129.68,133.869995,5904500,133.869995
2010-05-13,133.93,136.99,131,131.470001,5940200,131.470001
2010-05-14,130.36,131,126.76,128.529999,5277800,128.529999
2010-05-17,128.24,129.95,125.8,128.910004,5642200,128.910004
2010-05-18,130.14,131.25,125.51,126.279999,5256900,126.279999
2010-05-19,125.51,127.93,123.8,124.589996,6463300,124.589996
2010-05-20,122.64,125,118.78,119.709999,8594400,119.709999
2010-05-21,117.9,124.97,117.52,122.720001,7966900,122.720001
2010-05-24,122.57,124.5,120.65,122.120003,4535900,122.120003
2010-05-25,118.54,125.19,118.5,124.860001,6913400,124.860001
2010-05-26,125.05,125.79,122.3,123.209999,6964600,123.209999
2010-05-27,124.98,126.85,120.6,126.699997,4747700,126.699997
2010-05-28,126.07,127.6,124.01,125.459999,3954800,125.459999
2010-06-01,124.97,126.57,123.02,123.239998,3659500,123.239998
2010-06-02,124.02,126.43,121.65,126.309998,4764700,126.309998
2010-06-03,126.25,129.15,124.85,128.759995,5276900,128.759995
2010-06-04,126.33,128.2,122.18,122.769997,5497700,122.769997
2010-06-07,125.84,126.61,121.67,122.010002,6566400,122.010002
2010-06-08,122,122,115.8,118.839996,11484400,118.839996
2010-06-09,120.31,121.47,117.36,117.910004,7369200,117.910004
2010-06-10,120,123.5,119.2,123.209999,6061800,123.209999
2010-06-11,121.39,123.53,120.29,123.029999,4204600,123.029999
2010-06-14,124.24,125.7,123.5,123.830002,3923000,123.830002
2010-06-15,123.2,126.92,122.5,126.839996,4541000,126.839996
2010-06-16,125.39,127.98,125.36,126.900002,3964300,126.900002
2010-06-17,126.74,127.8,124.69,125.889999,3479000,125.889999
2010-06-18,126.48,127.48,125.07,125.830002,3836000,125.830002
2010-06-21,126.79,127.48,121.41,122.550003,5327700,122.550003
2010-06-22,122.65,125.23,121.55,122.309998,6207200,122.309998
2010-06-23,122.11,123.22,120.04,121.449997,5455100,121.449997
2010-06-24,120.61,120.85,116.8,118.330002,7771100,118.330002
2010-06-25,118.14,121.76,117.63,121,5769700,121
2010-06-28,118.85,120.04,117.1,117.800003,5612200,117.800003
2010-06-29,116.26,116.48,106.01,108.610001,12866300,108.610001
2010-06-30,108.58,112.68,108.11,109.260002,9740700,109.260002
2010-07-01,108.9,111.69,106.7,110.959999,8529800,110.959999
2010-07-02,110.92,111.29,108.56,109.139999,4477100,109.139999
2010-07-06,110.65,112.53,109,110.059998,5219300,110.059998
2010-07-07,109.84,113.63,109.81,113.43,4941000,113.43
2010-07-08,115.02,117.48,114.07,116.220001,6775000,116.220001
2010-07-09,116.55,117.4,114.65,117.260002,4065100,117.260002
2010-07-12,117.81,119.7,117.32,119.510002,4783600,119.510002
2010-07-13,120.69,124.88,120.3,123.650002,7091100,123.650002
2010-07-14,123.03,123.75,121.47,123.300003,5257000,123.300003
2010-07-15,120.13,122.48,119.26,122.059998,6047700,122.059998
2010-07-16,121.28,121.92,118.01,118.489998,6227900,118.489998
2010-07-19,118.38,120.74,117,119.940002,5030900,119.940002
2010-07-20,120.61,120.71,117.51,120.099998,6785000,120.099998
2010-07-21,120.62,121.25,117.26,117.43,5011700,117.43
2010-07-22,118.71,120.87,118.02,120.07,15003400,120.07
2010-07-23,105.93,119.28,105.8,118.870003,42421100,118.870003
2010-07-26,118.26,118.6,114.88,118.400002,11137800,118.400002
2010-07-27,118.43,118.5,115.07,117.129997,7796100,117.129997
2010-07-28,117,118.2,116.4,117.129997,5472300,117.129997
2010-07-29,117.99,118.87,115.52,116.860001,6175800,116.860001
2010-07-30,115.53,118.74,114.51,117.889999,7077500,117.889999
2010-08-02,119.15,120.38,117.57,120.07,5443700,120.07
2010-08-03,120,122.87,119.68,122.419998,5953800,122.419998
2010-08-04,123.06,128.47,123,127.580002,9270800,127.580002
2010-08-05,126.77,128,125.82,127.830002,4282300,127.830002
2010-08-06,126.72,128.4,125.9,128.320007,5065200,128.320007
2010-08-09,128.46,129.93,127.85,128.830002,5085800,128.830002
2010-08-10,127.95,130,127.38,130,5706900,130
2010-08-11,128.1,128.12,125.2,125.889999,5541700,125.889999
2010-08-12,123.76,127,123.55,126.559998,4367900,126.559998
2010-08-13,126.06,127.48,124.26,124.690002,3976600,124.690002
2010-08-16,123.61,127.37,123.04,126.07,4024700,126.07
2010-08-17,127.34,129.98,126.79,128.860001,5044700,128.860001
2010-08-18,129.25,130.81,128.26,129.649994,7901500,129.649994
2010-08-19,129.22,130.02,126.82,127.57,5582500,127.57
2010-08-20,127.2,128.04,126.02,127.760002,4170100,127.760002
2010-08-23,127.86,129.22,126.5,126.599998,3861300,126.599998
2010-08-24,125.41,125.44,123.18,124.529999,5369700,124.529999
2010-08-25,123.85,127.37,123.83,126.849998,5344500,126.849998
2010-08-26,127.15,127.59,124.82,124.860001,4694500,124.860001
2010-08-27,125.46,126.64,122.25,126.639999,5080000,126.639999
2010-08-30,126.03,126.95,123.69,123.790001,3426000,123.790001
2010-08-31,122.85,125.9,122.5,124.830002,4225600,124.830002
2010-09-01,126.36,132.6,126.17,132.490005,7138300,132.490005
2010-09-02,132.17,135.21,132.05,135.210007,5407400,135.210007
2010-09-03,136.89,139.5,136.63,138.789993,6581200,138.789993
2010-09-07,137.56,138.6,136.89,137.220001,3883000,137.220001
2010-09-08,137.93,139.7,136.45,139.139999,5828500,139.139999
2010-09-09,140.39,141.37,139.26,140.380005,4958000,140.380005
2010-09-10,140.75,142.6,140.04,142.440002,5043600,142.440002
2010-09-13,144.07,145.74,143.76,145.070007,5077400,145.070007
2010-09-14,144.5,146.7,143.83,145.75,4319400,145.75
2010-09-15,144.88,145.62,143.56,145.449997,4903600,145.449997
2010-09-16,145.4,148.23,145.16,148.130005,5827000,148.130005
2010-09-17,148.9,148.98,146.5,148.320007,7259600,148.320007
2010-09-20,148.7,151.95,147.35,151.300003,6449400,151.300003
2010-09-21,150.76,153.31,149.6,150.729996,7542000,150.729996
2010-09-22,149.84,152.7,149.1,151.830002,6612400,151.830002
2010-09-23,151.2,155.92,150.97,152.850006,7065600,152.850006
2010-09-24,155.43,160.89,155.42,160.729996,10590600,160.729996
2010-09-27,160.22,161.2,157.88,159.369995,6446300,159.369995
2010-09-28,159.84,160.88,154.89,159.699997,8494200,159.699997
2010-09-29,159.03,161.78,157.75,158.990005,7287500,158.990005
2010-09-30,160.01,160.93,155.6,157.059998,7606000,157.059998
2010-10-01,157.08,157.44,152.2,153.710007,8683400,153.710007
2010-10-04,153.95,155.96,152.79,155.389999,5346500,155.389999
2010-10-05,157.08,161.21,157.01,160.869995,5620000,160.869995
2010-10-06,160.6,160.68,154.6,155.399994,6060800,155.399994
2010-10-07,156.51,157.4,153.39,156.270004,4622000,156.270004
2010-10-08,155.18,156.28,152.78,155.550003,6918400,155.550003
2010-10-11,154.89,156.63,152.34,153.029999,4486400,153.029999
2010-10-12,152.51,156.95,151.4,156.479996,5280800,156.479996
2010-10-13,156.69,156.79,153.85,155.169998,5632800,155.169998
2010-10-14,155.16,156.95,154.23,155.529999,4024100,155.529999
2010-10-15,158.42,164.88,156.75,164.639999,10135500,164.639999
2010-10-18,165,165.19,161.82,163.559998,6331300,163.559998
2010-10-19,160.68,162.8,157,158.669998,7525000,158.669998
2010-10-20,158.78,159.87,156.57,158.669998,5790400,158.669998
2010-10-21,162.67,166.13,161.29,164.970001,13482500,164.970001
2010-10-22,162.45,170.17,162.27,169.130005,16318400,169.130005
2010-10-25,171.57,171.99,168.32,169,6530900,169
2010-10-26,167.57,171,167.5,169.949997,4689600,169.949997
2010-10-27,168.91,169.75,166.54,167.509995,5721800,167.509995
2010-10-28,168.31,168.49,165.05,166.839996,4684400,166.839996
2010-10-29,165.8,168.5,164.81,165.229996,4998500,165.229996
2010-11-01,164.45,164.58,161.52,162.580002,5239900,162.580002
2010-11-02,163.75,165.94,163.36,164.610001,4260000,164.610001
2010-11-03,165.4,168.61,162.29,168.470001,6112100,168.470001
2010-11-04,169.86,172.53,168.4,168.929993,7395900,168.929993
2010-11-05,169.35,171.65,168.59,170.770004,5212200,170.770004
2010-11-08,170.84,173.2,168.78,171.990005,5706000,171.990005
2010-11-09,172.67,173.14,169.06,170.270004,3978600,170.270004
2010-11-10,170.59,173.37,169.41,173.330002,5440300,173.330002
2010-11-11,171,172.05,169.42,170.369995,5691700,170.369995
2010-11-12,170.12,171.26,165.05,165.679993,7160600,165.679993
2010-11-15,165.16,165.35,158.56,158.899994,9648600,158.899994
2010-11-16,158.74,160.91,156.77,157.779999,6571400,157.779999
2010-11-17,157.84,160.85,157.55,158.350006,4524900,158.350006
2010-11-18,160.74,165,160.74,164.169998,6225300,164.169998
2010-11-19,163.95,164.99,162.84,164.820007,4464800,164.820007
2010-11-22,165.1,170.6,165,170.389999,6142500,170.389999
2010-11-23,168.61,168.81,164.62,168.199997,6465300,168.199997
2010-11-24,171.53,177.89,171.53,177.25,10042500,177.25
2010-11-26,177.36,178.38,176.16,177.199997,4271600,177.199997
2010-11-29,179.99,181.84,177.57,179.490005,9695000,179.490005
2010-11-30,176.95,177.7,174.9,175.399994,6762200,175.399994
2010-12-01,179.16,179.32,176,176.550003,5770100,176.550003
2010-12-02,176.86,177.45,173.92,176.529999,5537600,176.529999
2010-12-03,175.5,176.4,174.05,175.679993,4907500,175.679993
2010-12-06,175.52,178.43,174.6,178.050003,5654200,178.050003
2010-12-07,180.5,181.47,176.57,176.770004,5077100,176.770004
2010-12-08,177.49,178.16,175.2,176.289993,3726900,176.289993
2010-12-09,177.77,178.11,173.8,174.850006,4555500,174.850006
2010-12-10,174.88,175.95,173.36,175.619995,3565500,175.619995
2010-12-13,176.33,177.94,173.73,174.25,4202500,174.25
2010-12-14,174.28,175.76,173.09,173.940002,3685300,173.940002
2010-12-15,173.72,179,173.59,175.570007,5810500,175.570007
2010-12-16,175.58,178.3,175.04,178.039993,4121500,178.039993
2010-12-17,178.41,178.75,177.02,177.580002,4507300,177.580002
2010-12-20,179.27,183.98,178.04,183.289993,8735300,183.289993
2010-12-21,183.88,185.65,182.6,184.75,5111000,184.75
2010-12-22,185,185.45,184.11,184.759995,2578100,184.759995
2010-12-23,184.34,184.98,181.89,182.589996,3358200,182.589996
2010-12-27,181.9,183.14,180.45,182.139999,2249400,182.139999
2010-12-28,182.1,182.77,181.05,181.089996,1975000,181.089996
2010-12-29,181.8,184.35,180.41,183.369995,3120100,183.369995
2010-12-30,183.92,184.55,182.75,182.75,1961200,182.75
2010-12-31,181.96,182.3,179.51,180,3451900,180
2011-01-03,181.37,186,181.21,184.220001,5331400,184.220001
2011-01-04,186.15,187.7,183.78,185.009995,5031800,185.009995
2011-01-05,184.1,187.45,184.07,187.419998,3418800,187.419998
2011-01-06,186.5,187.41,185.25,185.860001,3179700,185.860001
2011-01-07,187.88,188.45,183.74,185.490005,5221700,185.490005
2011-01-10,185.04,185.29,182.51,184.679993,3375900,184.679993
2011-01-11,185.42,186,183.21,184.339996,2814200,184.339996
2011-01-12,185.36,185.38,183.3,184.080002,2679100,184.080002
2011-01-13,183.6,186.45,183.51,185.529999,3367000,185.529999
2011-01-14,185.5,188.94,184.92,188.75,3662800,188.75
2011-01-18,188.66,191.6,188.25,191.25,3896200,191.25
2011-01-19,190.9,191,186.21,186.869995,3882400,186.869995
2011-01-20,185.29,186.85,181,181.960007,5709900,181.960007
2011-01-21,183,183.25,176.84,177.419998,6806200,177.419998
2011-01-24,177.95,178.49,174.15,176.850006,5600300,176.850006
2011-01-25,175.5,176.75,174.28,176.699997,4651000,176.699997
2011-01-26,177.51,177.89,174.63,175.389999,3762200,175.389999
2011-01-27,177.48,185,177.31,184.449997,14594400,184.449997
2011-01-28,171.45,173.71,166.9,171.139999,19908200,171.139999
2011-01-31,170.16,171.44,167.41,169.639999,6718100,169.639999
2011-02-01,170.52,173.1,169.51,172.110001,5085900,172.110001
2011-02-02,171.42,175.2,170.87,173.529999,4547500,173.529999
2011-02-03,173.5,174.67,171.95,173.710007,3678900,173.710007
2011-02-04,174,177.19,173.75,175.929993,4347800,175.929993
2011-02-07,176.15,177.55,174.77,176.429993,5254700,176.429993
2011-02-08,176.66,183.11,176.59,183.059998,7794900,183.059998
2011-02-09,183.15,186.47,182.26,185.300003,8312700,185.300003
2011-02-10,184.39,187.24,183.6,186.210007,5331400,186.210007
2011-02-11,185.56,189.5,185.37,189.25,4487900,189.25
2011-02-14,189.25,191.4,188.35,190.419998,4061300,190.419998
2011-02-15,188.73,190.49,188.25,189.029999,3890900,189.029999
2011-02-16,189.77,190,186.35,186.619995,4628200,186.619995
2011-02-17,185.77,189.09,185.31,187.759995,3425500,187.759995
2011-02-18,187.54,188.5,185.13,186.5,4178600,186.5
2011-02-22,183.68,184.72,179.32,180.419998,5637100,180.419998
2011-02-23,180.25,181.15,174.39,176.679993,5482000,176.679993
2011-02-24,176.86,179.75,174.56,177.75,4656500,177.75
2011-02-25,178.95,180.75,177.1,177.240005,4191400,177.240005
2011-02-28,173.91,175.89,172.15,173.289993,6783200,173.289993
